t,typ,t,best,t,worst
0.000,1.000,0.000,1.000,0.000,1.000
12.00E-12,1.000,12.00E-12,1.000,12.00E-12,1.000
36.00E-12,1.000,36.00E-12,1.000,36.00E-12,1.000
55.62E-12,1.000,54.04E-12,1.000,60.67E-12,1.000
94.87E-12,1.000,90.12E-12,1.000,110.0E-12,1.000
173.4E-12,1.000,162.3E-12,1.000,208.7E-12,1.000
293.4E-12,1.000,282.3E-12,1.000,328.7E-12,1.000
413.4E-12,1.000,402.3E-12,1.000,448.7E-12,1.000
533.4E-12,1.000,522.3E-12,1.000,568.7E-12,1.000
653.4E-12,1.000,642.3E-12,1.000,688.7E-12,1.000
773.4E-12,1.000,762.3E-12,1.000,808.7E-12,1.000
893.4E-12,1.000,882.3E-12,1.000,928.7E-12,1.000
1.013E-9,1.000,1.002E-9,1.000,1.049E-9,1.000
1.133E-9,1.000,1.122E-9,1.000,1.169E-9,1.000
1.253E-9,1.000,1.242E-9,1.000,1.289E-9,1.000
1.373E-9,1.000,1.362E-9,1.000,1.409E-9,1.000
1.493E-9,1.000,1.482E-9,1.000,1.529E-9,1.000
1.613E-9,1.000,1.602E-9,1.000,1.649E-9,1.000
1.733E-9,1.000,1.722E-9,1.000,1.769E-9,1.000
1.853E-9,1.000,1.842E-9,1.000,1.889E-9,1.000
1.973E-9,1.000,1.962E-9,1.000,2.009E-9,1.000
2.093E-9,1.000,2.082E-9,1.000,2.129E-9,1.000
2.213E-9,1.000,2.202E-9,1.000,2.249E-9,1.000
2.307E-9,1.000,2.301E-9,1.000,2.324E-9,1.000
2.400E-9,1.000,2.400E-9,1.000,2.400E-9,1.000
2.400E-9,1.000,2.400E-9,1.000,2.400E-9,1.000
2.400E-9,1.000,2.400E-9,1.000,2.400E-9,1.000
2.400E-9,1.000,2.400E-9,1.000,2.400E-9,1.000
2.400E-9,1.000,2.400E-9,1.000,2.400E-9,1.000
2.400E-9,1.000,2.400E-9,1.000,2.400E-9,1.000
2.400E-9,1.000,2.400E-9,1.000,2.400E-9,1.000
2.400E-9,1.000,2.400E-9,1.000,2.400E-9,1.000
2.401E-9,1.000,2.401E-9,1.000,2.401E-9,1.000
2.401E-9,1.000,2.401E-9,1.000,2.401E-9,1.000
2.402E-9,1.000,2.402E-9,1.000,2.402E-9,1.000
2.402E-9,1.000,2.402E-9,1.000,2.402E-9,1.000
2.403E-9,1.001,2.403E-9,1.001,2.403E-9,1.001
2.403E-9,1.001,2.403E-9,1.001,2.403E-9,1.001
2.403E-9,1.001,2.403E-9,1.001,2.403E-9,1.001
2.404E-9,1.001,2.404E-9,1.001,2.404E-9,1.001
2.404E-9,1.001,2.404E-9,1.001,2.404E-9,1.001
2.405E-9,1.001,2.405E-9,1.001,2.405E-9,1.001
2.405E-9,1.001,2.405E-9,1.001,2.405E-9,1.001
2.405E-9,1.001,2.405E-9,1.001,2.405E-9,1.001
2.405E-9,1.001,2.405E-9,1.001,2.405E-9,1.001
2.405E-9,1.001,2.405E-9,1.001,2.405E-9,1.001
2.405E-9,1.001,2.405E-9,1.001,2.405E-9,1.001
2.406E-9,1.001,2.406E-9,1.001,2.406E-9,1.001
2.406E-9,1.001,2.406E-9,1.001,2.406E-9,1.001
2.407E-9,1.001,2.407E-9,1.001,2.407E-9,1.001
2.410E-9,1.001,2.410E-9,1.001,2.410E-9,1.001
2.414E-9,1.001,2.414E-9,1.001,2.414E-9,1.001
2.424E-9,1.001,2.424E-9,1.001,2.424E-9,1.001
2.437E-9,1.001,2.437E-9,1.001,2.437E-9,1.001
2.450E-9,1.001,2.450E-9,1.001,2.450E-9,1.001
2.450E-9,1.001,2.450E-9,1.001,2.450E-9,1.001
2.450E-9,1.001,2.450E-9,1.001,2.450E-9,1.001
2.450E-9,1.001,2.450E-9,1.001,2.450E-9,1.001
2.450E-9,1.001,2.450E-9,1.001,2.450E-9,1.001
2.450E-9,1.001,2.450E-9,1.001,2.450E-9,1.001
2.450E-9,1.001,2.450E-9,1.001,2.450E-9,1.001
2.450E-9,1.001,2.450E-9,1.001,2.450E-9,1.001
2.451E-9,1.001,2.450E-9,1.001,2.451E-9,1.001
2.451E-9,1.001,2.451E-9,1.001,2.451E-9,1.001
2.451E-9,1.001,2.451E-9,1.001,2.451E-9,1.001
2.451E-9,1.001,2.451E-9,1.001,2.451E-9,1.001
2.451E-9,1.001,2.451E-9,1.001,2.451E-9,1.001
2.451E-9,1.001,2.451E-9,1.001,2.451E-9,1.001
2.451E-9,1.001,2.451E-9,1.001,2.452E-9,1.001
2.452E-9,1.001,2.452E-9,1.001,2.452E-9,1.001
2.452E-9,1.001,2.452E-9,1.001,2.452E-9,1.001
2.452E-9,1.001,2.452E-9,1.001,2.452E-9,1.001
2.452E-9,1.001,2.452E-9,1.001,2.452E-9,1.001
2.452E-9,1.001,2.452E-9,1.001,2.453E-9,1.001
2.453E-9,1.001,2.452E-9,1.001,2.453E-9,1.001
2.453E-9,1.001,2.453E-9,1.001,2.453E-9,1.001
2.453E-9,1.001,2.453E-9,1.001,2.453E-9,1.001
2.453E-9,1.001,2.453E-9,1.001,2.453E-9,1.001
2.454E-9,1.001,2.454E-9,1.001,2.454E-9,1.001
2.454E-9,1.001,2.454E-9,1.001,2.454E-9,1.001
2.454E-9,1.001,2.454E-9,1.000,2.455E-9,1.001
2.455E-9,1.001,2.455E-9,1.000,2.455E-9,1.001
2.455E-9,1.000,2.455E-9,1.000,2.455E-9,1.001
2.455E-9,1.000,2.455E-9,999.9E-3,2.455E-9,1.001
2.455E-9,1.000,2.455E-9,999.9E-3,2.455E-9,1.001
2.455E-9,1.000,2.455E-9,999.8E-3,2.455E-9,1.001
2.455E-9,1.000,2.455E-9,999.7E-3,2.455E-9,1.001
2.455E-9,1.000,2.456E-9,999.5E-3,2.455E-9,1.000
2.455E-9,1.000,2.456E-9,999.3E-3,2.456E-9,1.000
2.456E-9,1.000,2.456E-9,999.1E-3,2.456E-9,1.000
2.456E-9,999.9E-3,2.456E-9,998.8E-3,2.456E-9,1.000
2.456E-9,999.7E-3,2.457E-9,998.5E-3,2.457E-9,1.000
2.456E-9,999.5E-3,2.457E-9,998.2E-3,2.457E-9,999.8E-3
2.457E-9,999.3E-3,2.458E-9,997.9E-3,2.457E-9,999.7E-3
2.457E-9,999.1E-3,2.458E-9,997.4E-3,2.458E-9,999.5E-3
2.458E-9,998.9E-3,2.459E-9,997.0E-3,2.458E-9,999.3E-3
2.458E-9,998.6E-3,2.460E-9,996.5E-3,2.459E-9,999.1E-3
2.459E-9,998.2E-3,2.460E-9,995.9E-3,2.459E-9,998.8E-3
2.459E-9,997.9E-3,2.461E-9,995.3E-3,2.460E-9,998.5E-3
2.460E-9,997.4E-3,2.462E-9,994.6E-3,2.461E-9,998.2E-3
2.461E-9,997.0E-3,2.463E-9,993.8E-3,2.462E-9,997.8E-3
2.462E-9,996.5E-3,2.464E-9,992.9E-3,2.463E-9,997.4E-3
2.463E-9,995.9E-3,2.466E-9,991.9E-3,2.464E-9,997.0E-3
2.464E-9,995.3E-3,2.467E-9,990.6E-3,2.465E-9,996.4E-3
2.465E-9,994.5E-3,2.469E-9,989.2E-3,2.467E-9,995.9E-3
2.467E-9,993.7E-3,2.471E-9,987.6E-3,2.468E-9,995.2E-3
2.469E-9,992.7E-3,2.474E-9,985.6E-3,2.470E-9,994.4E-3
2.471E-9,991.6E-3,2.477E-9,983.3E-3,2.472E-9,993.6E-3
2.473E-9,990.3E-3,2.480E-9,980.5E-3,2.475E-9,992.6E-3
2.476E-9,988.7E-3,2.485E-9,977.3E-3,2.478E-9,991.4E-3
2.479E-9,986.9E-3,2.490E-9,973.4E-3,2.481E-9,990.0E-3
2.483E-9,984.8E-3,2.495E-9,969.4E-3,2.485E-9,988.4E-3
2.488E-9,982.3E-3,2.500E-9,966.0E-3,2.490E-9,986.5E-3
2.493E-9,979.3E-3,2.504E-9,962.8E-3,2.496E-9,984.3E-3
2.499E-9,975.7E-3,2.507E-9,960.0E-3,2.502E-9,981.7E-3
2.506E-9,972.3E-3,2.511E-9,957.2E-3,2.510E-9,978.6E-3
2.513E-9,968.3E-3,2.515E-9,954.4E-3,2.519E-9,974.9E-3
2.519E-9,964.7E-3,2.518E-9,951.2E-3,2.530E-9,970.5E-3
2.525E-9,961.6E-3,2.521E-9,949.3E-3,2.543E-9,965.2E-3
2.530E-9,958.8E-3,2.523E-9,947.3E-3,2.557E-9,959.9E-3
2.534E-9,956.1E-3,2.525E-9,945.6E-3,2.568E-9,955.4E-3
2.539E-9,953.5E-3,2.527E-9,944.1E-3,2.578E-9,951.5E-3
2.544E-9,950.5E-3,2.529E-9,942.5E-3,2.586E-9,948.0E-3
2.549E-9,947.7E-3,2.531E-9,940.4E-3,2.594E-9,944.9E-3
2.552E-9,946.0E-3,2.534E-9,937.7E-3,2.601E-9,942.0E-3
2.555E-9,944.2E-3,2.537E-9,935.4E-3,2.608E-9,939.2E-3
2.557E-9,942.7E-3,2.539E-9,933.4E-3,2.615E-9,936.3E-3
2.559E-9,941.3E-3,2.541E-9,931.6E-3,2.622E-9,933.2E-3
2.562E-9,939.7E-3,2.542E-9,929.7E-3,2.626E-9,931.6E-3
2.565E-9,937.4E-3,2.545E-9,927.5E-3,2.630E-9,929.8E-3
2.568E-9,935.0E-3,2.548E-9,924.5E-3,2.634E-9,928.3E-3
2.571E-9,933.0E-3,2.550E-9,921.8E-3,2.636E-9,927.0E-3
2.574E-9,931.2E-3,2.553E-9,919.3E-3,2.639E-9,925.6E-3
2.576E-9,929.5E-3,2.555E-9,916.7E-3,2.644E-9,923.6E-3
2.578E-9,927.6E-3,2.558E-9,913.8E-3,2.648E-9,921.4E-3
2.581E-9,925.2E-3,2.561E-9,910.5E-3,2.652E-9,919.5E-3
2.585E-9,922.4E-3,2.565E-9,906.4E-3,2.656E-9,917.5E-3
2.588E-9,920.1E-3,2.569E-9,902.4E-3,2.659E-9,915.8E-3
2.591E-9,917.7E-3,2.573E-9,898.3E-3,2.662E-9,914.2E-3
2.594E-9,915.1E-3,2.577E-9,894.2E-3,2.665E-9,912.4E-3
2.598E-9,912.1E-3,2.582E-9,888.4E-3,2.669E-9,909.9E-3
2.602E-9,908.4E-3,2.588E-9,882.2E-3,2.673E-9,907.3E-3
2.608E-9,904.0E-3,2.593E-9,876.6E-3,2.677E-9,905.1E-3
2.613E-9,899.2E-3,2.601E-9,868.9E-3,2.681E-9,902.8E-3
2.619E-9,894.9E-3,2.608E-9,861.8E-3,2.685E-9,900.3E-3
2.625E-9,889.5E-3,2.614E-9,855.1E-3,2.690E-9,897.2E-3
2.633E-9,883.4E-3,2.622E-9,847.4E-3,2.696E-9,893.6E-3
2.641E-9,876.7E-3,2.630E-9,839.2E-3,2.703E-9,889.3E-3
2.649E-9,870.1E-3,2.638E-9,831.0E-3,2.711E-9,884.7E-3
2.660E-9,861.0E-3,2.646E-9,822.5E-3,2.719E-9,879.9E-3
2.672E-9,851.6E-3,2.654E-9,813.9E-3,2.727E-9,874.7E-3
2.683E-9,843.0E-3,2.663E-9,805.3E-3,2.737E-9,868.9E-3
2.695E-9,833.4E-3,2.671E-9,796.6E-3,2.748E-9,862.4E-3
2.707E-9,823.3E-3,2.679E-9,788.1E-3,2.761E-9,854.6E-3
2.720E-9,813.0E-3,2.688E-9,779.6E-3,2.776E-9,845.3E-3
2.733E-9,802.4E-3,2.696E-9,771.3E-3,2.792E-9,835.6E-3
2.747E-9,791.6E-3,2.704E-9,763.0E-3,2.811E-9,824.2E-3
2.760E-9,781.0E-3,2.712E-9,755.1E-3,2.833E-9,811.4E-3
2.774E-9,770.3E-3,2.720E-9,747.2E-3,2.855E-9,797.8E-3
2.787E-9,760.0E-3,2.728E-9,739.7E-3,2.879E-9,783.6E-3
2.800E-9,749.6E-3,2.735E-9,732.3E-3,2.905E-9,768.4E-3
2.813E-9,740.0E-3,2.742E-9,725.3E-3,2.930E-9,754.0E-3
2.825E-9,730.3E-3,2.749E-9,718.5E-3,2.956E-9,738.5E-3
2.836E-9,721.4E-3,2.755E-9,712.0E-3,2.981E-9,724.0E-3
2.848E-9,712.7E-3,2.762E-9,705.8E-3,3.018E-9,702.6E-3
2.858E-9,704.6E-3,2.768E-9,699.9E-3,3.054E-9,681.8E-3
2.868E-9,697.0E-3,2.773E-9,694.2E-3,3.094E-9,658.9E-3
2.878E-9,689.6E-3,2.779E-9,688.7E-3,3.139E-9,633.3E-3
2.887E-9,682.7E-3,2.784E-9,683.4E-3,3.175E-9,613.1E-3
2.895E-9,676.0E-3,2.790E-9,678.2E-3,3.208E-9,594.6E-3
2.904E-9,669.6E-3,2.795E-9,673.1E-3,3.244E-9,575.2E-3
2.912E-9,663.2E-3,2.800E-9,668.1E-3,3.282E-9,553.9E-3
2.920E-9,657.1E-3,2.805E-9,663.2E-3,3.328E-9,529.3E-3
2.929E-9,650.4E-3,2.810E-9,658.2E-3,3.377E-9,502.8E-3
2.941E-9,641.8E-3,2.815E-9,653.4E-3,3.430E-9,474.6E-3
2.956E-9,630.2E-3,2.820E-9,648.5E-3,3.484E-9,446.4E-3
2.970E-9,619.6E-3,2.826E-9,643.6E-3,3.542E-9,416.7E-3
2.990E-9,604.8E-3,2.831E-9,638.8E-3,3.597E-9,389.2E-3
3.013E-9,587.7E-3,2.836E-9,633.9E-3,3.656E-9,360.5E-3
3.034E-9,572.1E-3,2.841E-9,629.0E-3,3.711E-9,333.9E-3
3.058E-9,554.9E-3,2.846E-9,624.0E-3,3.777E-9,303.5E-3
3.084E-9,536.4E-3,2.851E-9,618.9E-3,3.853E-9,270.2E-3
3.110E-9,517.4E-3,2.857E-9,613.7E-3,3.934E-9,236.9E-3
3.138E-9,497.8E-3,2.862E-9,608.4E-3,4.030E-9,200.5E-3
3.167E-9,477.7E-3,2.868E-9,602.9E-3,4.121E-9,169.7E-3
3.195E-9,457.8E-3,2.874E-9,597.4E-3,4.206E-9,144.1E-3
3.224E-9,437.9E-3,2.880E-9,591.7E-3,4.292E-9,121.3E-3
3.252E-9,418.9E-3,2.886E-9,585.8E-3,4.384E-9,100.2E-3
3.281E-9,400.0E-3,2.893E-9,579.8E-3,4.488E-9,80.22E-3
3.308E-9,382.2E-3,2.900E-9,573.0E-3,4.608E-9,61.42E-3
3.335E-9,364.9E-3,2.910E-9,563.8E-3,4.728E-9,46.65E-3
3.360E-9,349.0E-3,2.922E-9,552.5E-3,4.848E-9,35.20E-3
3.384E-9,333.7E-3,2.933E-9,542.5E-3,4.968E-9,26.43E-3
3.407E-9,319.6E-3,2.948E-9,528.3E-3,5.088E-9,19.76E-3
3.430E-9,306.4E-3,2.965E-9,513.6E-3,5.208E-9,14.73E-3
3.451E-9,294.1E-3,2.979E-9,500.9E-3,5.328E-9,10.95E-3
3.471E-9,282.6E-3,2.994E-9,487.4E-3,5.448E-9,8.128E-3
3.490E-9,271.7E-3,3.010E-9,473.4E-3,5.568E-9,6.025E-3
3.509E-9,261.5E-3,3.025E-9,459.4E-3,5.688E-9,4.461E-3
3.527E-9,251.7E-3,3.042E-9,445.2E-3,5.808E-9,3.301E-3
3.544E-9,242.4E-3,3.058E-9,431.0E-3,5.879E-9,2.766E-3
3.562E-9,233.5E-3,3.074E-9,417.1E-3,5.950E-9,2.321E-3
3.579E-9,224.9E-3,3.091E-9,403.4E-3,5.950E-9,2.257E-3
3.596E-9,216.5E-3,3.106E-9,390.2E-3,5.951E-9,2.196E-3
3.613E-9,208.5E-3,3.122E-9,377.4E-3,5.951E-9,2.134E-3
3.630E-9,200.6E-3,3.137E-9,365.2E-3,5.952E-9,2.085E-3
3.647E-9,192.9E-3,3.152E-9,353.5E-3,5.952E-9,2.050E-3
3.664E-9,185.4E-3,3.165E-9,342.4E-3,5.952E-9,2.013E-3
3.681E-9,178.0E-3,3.179E-9,331.8E-3,5.952E-9,1.968E-3
3.699E-9,170.7E-3,3.192E-9,321.8E-3,5.953E-9,1.926E-3
3.717E-9,163.6E-3,3.205E-9,312.3E-3,5.953E-9,1.893E-3
3.735E-9,156.5E-3,3.217E-9,303.2E-3,5.954E-9,1.867E-3
3.753E-9,149.5E-3,3.228E-9,294.6E-3,5.954E-9,1.844E-3
3.773E-9,142.6E-3,3.240E-9,286.3E-3,5.954E-9,1.828E-3
3.792E-9,135.8E-3,3.251E-9,278.5E-3,5.955E-9,1.813E-3
3.813E-9,129.0E-3,3.262E-9,270.8E-3,5.955E-9,1.799E-3
3.834E-9,122.2E-3,3.272E-9,263.5E-3,5.955E-9,1.799E-3
3.857E-9,115.0E-3,3.283E-9,256.3E-3,5.955E-9,1.799E-3
3.889E-9,105.9E-3,3.293E-9,249.4E-3,5.955E-9,1.799E-3
3.945E-9,91.31E-3,3.304E-9,242.6E-3,5.955E-9,1.799E-3
4.024E-9,73.66E-3,3.314E-9,235.9E-3,5.955E-9,1.799E-3
4.144E-9,52.54E-3,3.325E-9,229.4E-3,5.956E-9,1.799E-3
4.264E-9,37.02E-3,3.335E-9,223.0E-3,5.956E-9,1.800E-3
4.384E-9,25.85E-3,3.345E-9,216.7E-3,5.956E-9,1.800E-3
4.504E-9,17.92E-3,3.356E-9,210.5E-3,5.957E-9,1.800E-3
4.621E-9,12.50E-3,3.366E-9,204.3E-3,5.957E-9,1.800E-3
4.741E-9,8.598E-3,3.377E-9,198.3E-3,5.958E-9,1.800E-3
4.861E-9,5.900E-3,3.388E-9,192.3E-3,5.958E-9,1.800E-3
4.981E-9,4.041E-3,3.399E-9,186.4E-3,5.959E-9,1.800E-3
5.101E-9,2.765E-3,3.410E-9,180.5E-3,5.960E-9,1.800E-3
5.221E-9,1.890E-3,3.421E-9,174.6E-3,5.961E-9,1.800E-3
5.341E-9,1.293E-3,3.432E-9,168.8E-3,5.962E-9,1.800E-3
5.461E-9,885.2E-6,3.444E-9,163.1E-3,5.964E-9,1.800E-3
5.581E-9,606.8E-6,3.456E-9,157.3E-3,5.967E-9,1.800E-3
5.701E-9,416.8E-6,3.468E-9,151.6E-3,5.971E-9,1.800E-3
5.821E-9,287.2E-6,3.481E-9,146.0E-3,5.977E-9,1.800E-3
5.885E-9,236.7E-6,3.494E-9,140.3E-3,5.986E-9,1.800E-3
5.950E-9,196.3E-6,3.507E-9,134.7E-3,6.000E-9,1.800E-3
5.950E-9,130.6E-6,3.521E-9,129.0E-3,6.000E-9,1.777E-3
5.951E-9,68.57E-6,3.535E-9,123.4E-3,6.001E-9,1.753E-3
5.951E-9,3.134E-6,3.550E-9,117.8E-3,6.001E-9,1.717E-3
5.952E-9,-46.97E-6,3.565E-9,112.2E-3,6.001E-9,1.682E-3
5.952E-9,-82.93E-6,3.581E-9,106.6E-3,6.002E-9,1.649E-3
5.952E-9,-120.6E-6,3.598E-9,101.0E-3,6.002E-9,1.624E-3
5.952E-9,-170.7E-6,3.616E-9,95.32E-3,6.003E-9,1.617E-3
5.953E-9,-223.0E-6,3.634E-9,89.67E-3,6.003E-9,1.640E-3
5.953E-9,-267.6E-6,3.654E-9,84.00E-3,6.003E-9,1.701E-3
5.954E-9,-303.8E-6,3.676E-9,78.30E-3,6.004E-9,1.808E-3
5.954E-9,-333.3E-6,3.698E-9,72.58E-3,6.004E-9,1.965E-3
5.954E-9,-359.2E-6,3.724E-9,66.50E-3,6.005E-9,2.175E-3
5.955E-9,-374.3E-6,3.761E-9,58.75E-3,6.005E-9,2.348E-3
5.955E-9,-389.2E-6,3.819E-9,48.10E-3,6.005E-9,2.380E-3
5.955E-9,-389.2E-6,3.931E-9,32.40E-3,6.005E-9,2.415E-3
5.955E-9,-389.2E-6,4.026E-9,22.90E-3,6.005E-9,2.461E-3
5.955E-9,-389.2E-6,4.124E-9,15.95E-3,6.005E-9,2.552E-3
5.955E-9,-389.1E-6,4.226E-9,10.93E-3,6.006E-9,2.735E-3
5.955E-9,-389.1E-6,4.328E-9,7.415E-3,6.006E-9,3.101E-3
5.956E-9,-389.1E-6,4.439E-9,4.858E-3,6.007E-9,3.831E-3
5.956E-9,-389.0E-6,4.559E-9,3.060E-3,6.009E-9,5.292E-3
5.956E-9,-389.0E-6,4.679E-9,1.923E-3,6.013E-9,8.211E-3
5.957E-9,-389.0E-6,4.799E-9,1.211E-3,6.021E-9,14.04E-3
5.957E-9,-389.0E-6,4.919E-9,768.7E-6,6.036E-9,25.66E-3
5.957E-9,-388.9E-6,5.039E-9,494.9E-6,6.067E-9,48.74E-3
5.958E-9,-388.9E-6,5.159E-9,325.9E-6,6.128E-9,93.73E-3
5.959E-9,-388.9E-6,5.279E-9,221.7E-6,6.225E-9,162.6E-3
5.959E-9,-388.8E-6,5.399E-9,157.6E-6,6.345E-9,245.7E-3
5.961E-9,-388.8E-6,5.519E-9,118.1E-6,6.406E-9,287.3E-3
5.962E-9,-388.7E-6,5.639E-9,93.85E-6,6.464E-9,325.1E-3
5.965E-9,-388.7E-6,5.759E-9,78.94E-6,6.513E-9,356.6E-3
5.968E-9,-388.6E-6,5.855E-9,71.44E-6,6.554E-9,383.0E-3
5.972E-9,-388.4E-6,5.950E-9,66.39E-6,6.603E-9,413.2E-3
5.978E-9,-388.3E-6,5.950E-9,-2.109E-6,6.658E-9,446.8E-3
5.989E-9,-387.9E-6,5.951E-9,-66.95E-6,6.710E-9,478.3E-3
6.000E-9,-387.6E-6,5.951E-9,-135.8E-6,6.754E-9,503.8E-3
6.000E-9,-409.2E-6,5.952E-9,-181.2E-6,6.794E-9,526.5E-3
6.000E-9,-433.4E-6,5.952E-9,-216.1E-6,6.832E-9,548.1E-3
6.001E-9,-471.7E-6,5.952E-9,-241.2E-6,6.870E-9,569.1E-3
6.001E-9,-508.0E-6,5.952E-9,-266.1E-6,6.909E-9,590.1E-3
6.002E-9,-536.7E-6,5.952E-9,-314.5E-6,6.950E-9,611.5E-3
6.002E-9,-547.4E-6,5.953E-9,-374.8E-6,6.993E-9,633.6E-3
6.003E-9,-528.1E-6,5.953E-9,-429.6E-6,7.039E-9,656.7E-3
6.003E-9,-468.7E-6,5.954E-9,-477.3E-6,7.090E-9,681.2E-3
6.003E-9,-362.2E-6,5.954E-9,-517.0E-6,7.147E-9,707.3E-3
6.004E-9,-203.6E-6,5.954E-9,-550.0E-6,7.211E-9,735.5E-3
6.004E-9,10.18E-6,5.955E-9,-570.0E-6,7.286E-9,765.9E-3
6.005E-9,281.2E-6,5.955E-9,-589.0E-6,7.373E-9,798.4E-3
6.005E-9,543.5E-6,5.955E-9,-589.0E-6,7.476E-9,832.4E-3
6.005E-9,586.4E-6,5.955E-9,-589.0E-6,7.596E-9,866.1E-3
6.005E-9,633.6E-6,5.955E-9,-589.0E-6,7.716E-9,894.1E-3
6.005E-9,696.6E-6,5.955E-9,-588.9E-6,7.836E-9,917.0E-3
6.005E-9,822.6E-6,5.956E-9,-588.8E-6,7.956E-9,935.3E-3
6.006E-9,1.075E-3,5.956E-9,-588.7E-6,8.028E-9,944.4E-3
6.006E-9,1.578E-3,5.956E-9,-588.6E-6,8.100E-9,952.3E-3
6.007E-9,2.586E-3,5.956E-9,-588.5E-6,8.106E-9,952.9E-3
6.009E-9,4.599E-3,5.957E-9,-588.4E-6,8.118E-9,954.1E-3
6.014E-9,8.621E-3,5.957E-9,-588.3E-6,8.120E-9,954.2E-3
6.022E-9,16.64E-3,5.957E-9,-588.2E-6,8.123E-9,954.5E-3
6.039E-9,32.61E-3,5.958E-9,-588.1E-6,8.129E-9,955.1E-3
6.074E-9,64.22E-3,5.958E-9,-588.0E-6,8.141E-9,956.2E-3
6.126E-9,111.9E-3,5.959E-9,-587.8E-6,8.165E-9,958.4E-3
6.199E-9,176.0E-3,5.961E-9,-587.6E-6,8.213E-9,962.5E-3
6.267E-9,234.1E-3,5.962E-9,-587.3E-6,8.309E-9,969.5E-3
6.335E-9,290.4E-3,5.965E-9,-586.9E-6,8.429E-9,976.6E-3
6.386E-9,331.8E-3,5.968E-9,-586.3E-6,8.549E-9,982.1E-3
6.425E-9,362.8E-3,5.972E-9,-585.5E-6,8.627E-9,985.0E-3
6.465E-9,393.5E-3,5.979E-9,-584.3E-6,8.706E-9,987.4E-3
6.527E-9,440.5E-3,5.990E-9,-582.4E-6,8.712E-9,987.6E-3
6.579E-9,478.5E-3,6.000E-9,-580.6E-6,8.724E-9,987.9E-3
6.617E-9,505.5E-3,6.000E-9,-603.2E-6,8.726E-9,987.9E-3
6.651E-9,529.2E-3,6.000E-9,-628.5E-6,8.729E-9,988.0E-3
6.684E-9,551.5E-3,6.001E-9,-668.5E-6,8.735E-9,988.2E-3
6.716E-9,572.9E-3,6.001E-9,-702.2E-6,8.747E-9,988.5E-3
6.749E-9,594.1E-3,6.002E-9,-719.4E-6,8.771E-9,989.1E-3
6.783E-9,615.7E-3,6.002E-9,-707.2E-6,8.819E-9,990.2E-3
6.819E-9,638.0E-3,6.003E-9,-654.7E-6,8.856E-9,991.0E-3
6.858E-9,661.1E-3,6.003E-9,-554.0E-6,8.862E-9,991.1E-3
6.900E-9,685.3E-3,6.003E-9,-399.8E-6,8.874E-9,991.3E-3
